"Statistic","Month","Type of Residential Property","UNIT","VALUE"
"Percentage Change over 3 months for Residential Property Price Index","2008M09","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M10","National - all residential properties","%","-4.5"
"Percentage Change over 3 months for Residential Property Price Index","2008M10","National - houses","%","-3.8"
"Percentage Change over 3 months for Residential Property Price Index","2008M10","National - apartments","%","-7.1"
"Percentage Change over 3 months for Residential Property Price Index","2008M10","Dublin - all residential properties","%","-8.1"
"Percentage Change over 3 months for Residential Property Price Index","2008M10","Dublin - houses","%","-7"
"Percentage Change over 3 months for Residential Property Price Index","2008M10","Dublin - apartments","%","-10.3"
"Percentage Change over 3 months for Residential Property Price Index","2008M10","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M10","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M10","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M10","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M10","National excluding Dublin - all residential properties","%","-2.7"
"Percentage Change over 3 months for Residential Property Price Index","2008M10","National excluding Dublin - houses","%","-2.7"
"Percentage Change over 3 months for Residential Property Price Index","2008M10","National excluding Dublin - apartments","%","-3.1"
"Percentage Change over 3 months for Residential Property Price Index","2008M10","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M10","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M10","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M10","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M10","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M10","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M10","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M11","National - all residential properties","%","-5.2"
"Percentage Change over 3 months for Residential Property Price Index","2008M11","National - houses","%","-4.4"
"Percentage Change over 3 months for Residential Property Price Index","2008M11","National - apartments","%","-8.4"
"Percentage Change over 3 months for Residential Property Price Index","2008M11","Dublin - all residential properties","%","-9.4"
"Percentage Change over 3 months for Residential Property Price Index","2008M11","Dublin - houses","%","-8.1"
"Percentage Change over 3 months for Residential Property Price Index","2008M11","Dublin - apartments","%","-11.8"
"Percentage Change over 3 months for Residential Property Price Index","2008M11","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M11","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M11","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M11","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M11","National excluding Dublin - all residential properties","%","-3.2"
"Percentage Change over 3 months for Residential Property Price Index","2008M11","National excluding Dublin - houses","%","-3.1"
"Percentage Change over 3 months for Residential Property Price Index","2008M11","National excluding Dublin - apartments","%","-4"
"Percentage Change over 3 months for Residential Property Price Index","2008M11","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M11","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M11","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M11","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M11","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M11","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M11","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M12","National - all residential properties","%","-5.8"
"Percentage Change over 3 months for Residential Property Price Index","2008M12","National - houses","%","-5.1"
"Percentage Change over 3 months for Residential Property Price Index","2008M12","National - apartments","%","-9"
"Percentage Change over 3 months for Residential Property Price Index","2008M12","Dublin - all residential properties","%","-8.1"
"Percentage Change over 3 months for Residential Property Price Index","2008M12","Dublin - houses","%","-6.9"
"Percentage Change over 3 months for Residential Property Price Index","2008M12","Dublin - apartments","%","-11.1"
"Percentage Change over 3 months for Residential Property Price Index","2008M12","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M12","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M12","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M12","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M12","National excluding Dublin - all residential properties","%","-4.7"
"Percentage Change over 3 months for Residential Property Price Index","2008M12","National excluding Dublin - houses","%","-4.4"
"Percentage Change over 3 months for Residential Property Price Index","2008M12","National excluding Dublin - apartments","%","-6.3"
"Percentage Change over 3 months for Residential Property Price Index","2008M12","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M12","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M12","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M12","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M12","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M12","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2008M12","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M01","National - all residential properties","%","-6.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M01","National - houses","%","-5.9"
"Percentage Change over 3 months for Residential Property Price Index","2009M01","National - apartments","%","-8.5"
"Percentage Change over 3 months for Residential Property Price Index","2009M01","Dublin - all residential properties","%","-7.5"
"Percentage Change over 3 months for Residential Property Price Index","2009M01","Dublin - houses","%","-7.9"
"Percentage Change over 3 months for Residential Property Price Index","2009M01","Dublin - apartments","%","-7.9"
"Percentage Change over 3 months for Residential Property Price Index","2009M01","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M01","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M01","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M01","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M01","National excluding Dublin - all residential properties","%","-5.5"
"Percentage Change over 3 months for Residential Property Price Index","2009M01","National excluding Dublin - houses","%","-5.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M01","National excluding Dublin - apartments","%","-9.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M01","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M01","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M01","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M01","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M01","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M01","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M01","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M02","National - all residential properties","%","-7.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M02","National - houses","%","-7"
"Percentage Change over 3 months for Residential Property Price Index","2009M02","National - apartments","%","-9.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M02","Dublin - all residential properties","%","-9"
"Percentage Change over 3 months for Residential Property Price Index","2009M02","Dublin - houses","%","-9.8"
"Percentage Change over 3 months for Residential Property Price Index","2009M02","Dublin - apartments","%","-8.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M02","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M02","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M02","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M02","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M02","National excluding Dublin - all residential properties","%","-6.2"
"Percentage Change over 3 months for Residential Property Price Index","2009M02","National excluding Dublin - houses","%","-6"
"Percentage Change over 3 months for Residential Property Price Index","2009M02","National excluding Dublin - apartments","%","-9.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M02","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M02","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M02","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M02","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M02","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M02","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M02","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M03","National - all residential properties","%","-7.8"
"Percentage Change over 3 months for Residential Property Price Index","2009M03","National - houses","%","-7.7"
"Percentage Change over 3 months for Residential Property Price Index","2009M03","National - apartments","%","-9.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M03","Dublin - all residential properties","%","-10.5"
"Percentage Change over 3 months for Residential Property Price Index","2009M03","Dublin - houses","%","-11.5"
"Percentage Change over 3 months for Residential Property Price Index","2009M03","Dublin - apartments","%","-8.8"
"Percentage Change over 3 months for Residential Property Price Index","2009M03","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M03","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M03","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M03","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M03","National excluding Dublin - all residential properties","%","-6.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M03","National excluding Dublin - houses","%","-6.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M03","National excluding Dublin - apartments","%","-8.6"
"Percentage Change over 3 months for Residential Property Price Index","2009M03","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M03","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M03","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M03","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M03","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M03","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M03","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M04","National - all residential properties","%","-7.5"
"Percentage Change over 3 months for Residential Property Price Index","2009M04","National - houses","%","-7.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M04","National - apartments","%","-9.7"
"Percentage Change over 3 months for Residential Property Price Index","2009M04","Dublin - all residential properties","%","-11.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M04","Dublin - houses","%","-12.2"
"Percentage Change over 3 months for Residential Property Price Index","2009M04","Dublin - apartments","%","-9.6"
"Percentage Change over 3 months for Residential Property Price Index","2009M04","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M04","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M04","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M04","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M04","National excluding Dublin - all residential properties","%","-5.6"
"Percentage Change over 3 months for Residential Property Price Index","2009M04","National excluding Dublin - houses","%","-5.5"
"Percentage Change over 3 months for Residential Property Price Index","2009M04","National excluding Dublin - apartments","%","-7.7"
"Percentage Change over 3 months for Residential Property Price Index","2009M04","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M04","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M04","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M04","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M04","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M04","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M04","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M05","National - all residential properties","%","-7"
"Percentage Change over 3 months for Residential Property Price Index","2009M05","National - houses","%","-7"
"Percentage Change over 3 months for Residential Property Price Index","2009M05","National - apartments","%","-8.7"
"Percentage Change over 3 months for Residential Property Price Index","2009M05","Dublin - all residential properties","%","-9.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M05","Dublin - houses","%","-10.8"
"Percentage Change over 3 months for Residential Property Price Index","2009M05","Dublin - apartments","%","-6.9"
"Percentage Change over 3 months for Residential Property Price Index","2009M05","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M05","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M05","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M05","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M05","National excluding Dublin - all residential properties","%","-5.9"
"Percentage Change over 3 months for Residential Property Price Index","2009M05","National excluding Dublin - houses","%","-5.7"
"Percentage Change over 3 months for Residential Property Price Index","2009M05","National excluding Dublin - apartments","%","-9.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M05","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M05","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M05","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M05","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M05","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M05","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M05","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M06","National - all residential properties","%","-6.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M06","National - houses","%","-5.9"
"Percentage Change over 3 months for Residential Property Price Index","2009M06","National - apartments","%","-8.6"
"Percentage Change over 3 months for Residential Property Price Index","2009M06","Dublin - all residential properties","%","-7"
"Percentage Change over 3 months for Residential Property Price Index","2009M06","Dublin - houses","%","-8.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M06","Dublin - apartments","%","-5.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M06","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M06","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M06","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M06","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M06","National excluding Dublin - all residential properties","%","-5.7"
"Percentage Change over 3 months for Residential Property Price Index","2009M06","National excluding Dublin - houses","%","-5.2"
"Percentage Change over 3 months for Residential Property Price Index","2009M06","National excluding Dublin - apartments","%","-12.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M06","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M06","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M06","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M06","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M06","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M06","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M06","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M07","National - all residential properties","%","-5.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M07","National - houses","%","-5.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M07","National - apartments","%","-7.2"
"Percentage Change over 3 months for Residential Property Price Index","2009M07","Dublin - all residential properties","%","-4.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M07","Dublin - houses","%","-4.5"
"Percentage Change over 3 months for Residential Property Price Index","2009M07","Dublin - apartments","%","-4.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M07","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M07","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M07","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M07","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M07","National excluding Dublin - all residential properties","%","-5.8"
"Percentage Change over 3 months for Residential Property Price Index","2009M07","National excluding Dublin - houses","%","-5.6"
"Percentage Change over 3 months for Residential Property Price Index","2009M07","National excluding Dublin - apartments","%","-9.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M07","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M07","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M07","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M07","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M07","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M07","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M07","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M08","National - all residential properties","%","-4.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M08","National - houses","%","-4"
"Percentage Change over 3 months for Residential Property Price Index","2009M08","National - apartments","%","-7.2"
"Percentage Change over 3 months for Residential Property Price Index","2009M08","Dublin - all residential properties","%","-2"
"Percentage Change over 3 months for Residential Property Price Index","2009M08","Dublin - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M08","Dublin - apartments","%","-5.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M08","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M08","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M08","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M08","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M08","National excluding Dublin - all residential properties","%","-5.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M08","National excluding Dublin - houses","%","-5.2"
"Percentage Change over 3 months for Residential Property Price Index","2009M08","National excluding Dublin - apartments","%","-9.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M08","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M08","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M08","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M08","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M08","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M08","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M08","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M09","National - all residential properties","%","-2.7"
"Percentage Change over 3 months for Residential Property Price Index","2009M09","National - houses","%","-1.9"
"Percentage Change over 3 months for Residential Property Price Index","2009M09","National - apartments","%","-7.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M09","Dublin - all residential properties","%","-1.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M09","Dublin - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2009M09","Dublin - apartments","%","-6.9"
"Percentage Change over 3 months for Residential Property Price Index","2009M09","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M09","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M09","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M09","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M09","National excluding Dublin - all residential properties","%","-3.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M09","National excluding Dublin - houses","%","-3.2"
"Percentage Change over 3 months for Residential Property Price Index","2009M09","National excluding Dublin - apartments","%","-7.7"
"Percentage Change over 3 months for Residential Property Price Index","2009M09","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M09","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M09","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M09","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M09","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M09","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M09","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M10","National - all residential properties","%","-2.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M10","National - houses","%","-1.6"
"Percentage Change over 3 months for Residential Property Price Index","2009M10","National - apartments","%","-7.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M10","Dublin - all residential properties","%","-2.6"
"Percentage Change over 3 months for Residential Property Price Index","2009M10","Dublin - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M10","Dublin - apartments","%","-6.9"
"Percentage Change over 3 months for Residential Property Price Index","2009M10","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M10","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M10","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M10","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M10","National excluding Dublin - all residential properties","%","-2.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M10","National excluding Dublin - houses","%","-2.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M10","National excluding Dublin - apartments","%","-7.2"
"Percentage Change over 3 months for Residential Property Price Index","2009M10","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M10","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M10","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M10","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M10","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M10","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M10","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M11","National - all residential properties","%","-1.6"
"Percentage Change over 3 months for Residential Property Price Index","2009M11","National - houses","%","-1.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M11","National - apartments","%","-5.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M11","Dublin - all residential properties","%","-4.5"
"Percentage Change over 3 months for Residential Property Price Index","2009M11","Dublin - houses","%","-4.1"
"Percentage Change over 3 months for Residential Property Price Index","2009M11","Dublin - apartments","%","-5.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M11","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M11","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M11","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M11","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M11","National excluding Dublin - all residential properties","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2009M11","National excluding Dublin - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2009M11","National excluding Dublin - apartments","%","-4.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M11","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M11","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M11","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M11","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M11","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M11","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M11","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M12","National - all residential properties","%","-2.9"
"Percentage Change over 3 months for Residential Property Price Index","2009M12","National - houses","%","-2.8"
"Percentage Change over 3 months for Residential Property Price Index","2009M12","National - apartments","%","-4"
"Percentage Change over 3 months for Residential Property Price Index","2009M12","Dublin - all residential properties","%","-6.2"
"Percentage Change over 3 months for Residential Property Price Index","2009M12","Dublin - houses","%","-7.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M12","Dublin - apartments","%","-3.9"
"Percentage Change over 3 months for Residential Property Price Index","2009M12","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M12","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M12","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M12","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M12","National excluding Dublin - all residential properties","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2009M12","National excluding Dublin - houses","%","-1.3"
"Percentage Change over 3 months for Residential Property Price Index","2009M12","National excluding Dublin - apartments","%","-2.5"
"Percentage Change over 3 months for Residential Property Price Index","2009M12","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M12","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M12","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M12","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M12","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M12","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2009M12","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M01","National - all residential properties","%","-2.7"
"Percentage Change over 3 months for Residential Property Price Index","2010M01","National - houses","%","-2.8"
"Percentage Change over 3 months for Residential Property Price Index","2010M01","National - apartments","%","-3.2"
"Percentage Change over 3 months for Residential Property Price Index","2010M01","Dublin - all residential properties","%","-6.4"
"Percentage Change over 3 months for Residential Property Price Index","2010M01","Dublin - houses","%","-7.7"
"Percentage Change over 3 months for Residential Property Price Index","2010M01","Dublin - apartments","%","-3.5"
"Percentage Change over 3 months for Residential Property Price Index","2010M01","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M01","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M01","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M01","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M01","National excluding Dublin - all residential properties","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2010M01","National excluding Dublin - houses","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2010M01","National excluding Dublin - apartments","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2010M01","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M01","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M01","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M01","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M01","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M01","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M01","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M02","National - all residential properties","%","-3.8"
"Percentage Change over 3 months for Residential Property Price Index","2010M02","National - houses","%","-3.9"
"Percentage Change over 3 months for Residential Property Price Index","2010M02","National - apartments","%","-3.3"
"Percentage Change over 3 months for Residential Property Price Index","2010M02","Dublin - all residential properties","%","-6.8"
"Percentage Change over 3 months for Residential Property Price Index","2010M02","Dublin - houses","%","-7.6"
