"Statistic","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2005M10","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M10","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M11","National - all residential properties","Base 2015=100","139.3"
"Residential Property Price Index","2005M11","National - houses","Base 2015=100","135.3"
"Residential Property Price Index","2005M11","National - apartments","Base 2015=100","163.4"
"Residential Property Price Index","2005M11","Dublin - all residential properties","Base 2015=100","135.4"
"Residential Property Price Index","2005M11","Dublin - houses","Base 2015=100","129.5"
"Residential Property Price Index","2005M11","Dublin - apartments","Base 2015=100","157.8"
"Residential Property Price Index","2005M11","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M11","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M11","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M11","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M11","National excluding Dublin - all residential properties","Base 2015=100","156.3"
"Residential Property Price Index","2005M11","National excluding Dublin - houses","Base 2015=100","153.5"
"Residential Property Price Index","2005M11","National excluding Dublin - apartments","Base 2015=100","207.8"
"Residential Property Price Index","2005M11","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M11","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M11","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M11","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M11","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M11","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M11","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M12","National - all residential properties","Base 2015=100","140.7"
"Residential Property Price Index","2005M12","National - houses","Base 2015=100","136.5"
"Residential Property Price Index","2005M12","National - apartments","Base 2015=100","166.4"
"Residential Property Price Index","2005M12","Dublin - all residential properties","Base 2015=100","136.2"
"Residential Property Price Index","2005M12","Dublin - houses","Base 2015=100","129.9"
"Residential Property Price Index","2005M12","Dublin - apartments","Base 2015=100","160.1"
"Residential Property Price Index","2005M12","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M12","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M12","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M12","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M12","National excluding Dublin - all residential properties","Base 2015=100","158.2"
"Residential Property Price Index","2005M12","National excluding Dublin - houses","Base 2015=100","155.3"
"Residential Property Price Index","2005M12","National excluding Dublin - apartments","Base 2015=100","213.2"
"Residential Property Price Index","2005M12","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M12","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M12","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M12","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M12","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M12","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M12","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M01","National - all residential properties","Base 2015=100","141.4"
"Residential Property Price Index","2006M01","National - houses","Base 2015=100","137.3"
"Residential Property Price Index","2006M01","National - apartments","Base 2015=100","167.8"
"Residential Property Price Index","2006M01","Dublin - all residential properties","Base 2015=100","136.8"
"Residential Property Price Index","2006M01","Dublin - houses","Base 2015=100","130.9"
"Residential Property Price Index","2006M01","Dublin - apartments","Base 2015=100","159.9"
"Residential Property Price Index","2006M01","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M01","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M01","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M01","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M01","National excluding Dublin - all residential properties","Base 2015=100","159"
"Residential Property Price Index","2006M01","National excluding Dublin - houses","Base 2015=100","156"
"Residential Property Price Index","2006M01","National excluding Dublin - apartments","Base 2015=100","216.3"
"Residential Property Price Index","2006M01","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M01","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M01","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M01","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M01","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M01","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M01","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M02","National - all residential properties","Base 2015=100","141.7"
"Residential Property Price Index","2006M02","National - houses","Base 2015=100","137.7"
"Residential Property Price Index","2006M02","National - apartments","Base 2015=100","169"
"Residential Property Price Index","2006M02","Dublin - all residential properties","Base 2015=100","137.9"
"Residential Property Price Index","2006M02","Dublin - houses","Base 2015=100","132.3"
"Residential Property Price Index","2006M02","Dublin - apartments","Base 2015=100","160.7"
"Residential Property Price Index","2006M02","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M02","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M02","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M02","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M02","National excluding Dublin - all residential properties","Base 2015=100","158.9"
"Residential Property Price Index","2006M02","National excluding Dublin - houses","Base 2015=100","155.9"
"Residential Property Price Index","2006M02","National excluding Dublin - apartments","Base 2015=100","216.2"
"Residential Property Price Index","2006M02","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M02","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M02","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M02","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M02","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M02","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M02","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M03","National - all residential properties","Base 2015=100","142.5"
"Residential Property Price Index","2006M03","National - houses","Base 2015=100","138.5"
"Residential Property Price Index","2006M03","National - apartments","Base 2015=100","170.1"
"Residential Property Price Index","2006M03","Dublin - all residential properties","Base 2015=100","138.7"
"Residential Property Price Index","2006M03","Dublin - houses","Base 2015=100","133.1"
"Residential Property Price Index","2006M03","Dublin - apartments","Base 2015=100","161.4"
"Residential Property Price Index","2006M03","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M03","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M03","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M03","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M03","National excluding Dublin - all residential properties","Base 2015=100","159.7"
"Residential Property Price Index","2006M03","National excluding Dublin - houses","Base 2015=100","156.8"
"Residential Property Price Index","2006M03","National excluding Dublin - apartments","Base 2015=100","216"
"Residential Property Price Index","2006M03","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M03","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M03","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M03","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M03","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M03","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M03","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M04","National - all residential properties","Base 2015=100","144.6"
"Residential Property Price Index","2006M04","National - houses","Base 2015=100","140.5"
"Residential Property Price Index","2006M04","National - apartments","Base 2015=100","172.7"
"Residential Property Price Index","2006M04","Dublin - all residential properties","Base 2015=100","141.3"
"Residential Property Price Index","2006M04","Dublin - houses","Base 2015=100","135.2"
"Residential Property Price Index","2006M04","Dublin - apartments","Base 2015=100","164.8"
"Residential Property Price Index","2006M04","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M04","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M04","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M04","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M04","National excluding Dublin - all residential properties","Base 2015=100","161.8"
"Residential Property Price Index","2006M04","National excluding Dublin - houses","Base 2015=100","158.9"
"Residential Property Price Index","2006M04","National excluding Dublin - apartments","Base 2015=100","217.3"
"Residential Property Price Index","2006M04","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M04","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M04","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M04","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M04","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M04","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M04","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M05","National - all residential properties","Base 2015=100","147.6"
